Date-Time,Pressure (hPa),Temperature (°C),Roll,Pitch,Yaw ,X Acc (g),Y Acc (g),Z Acc (g),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Mag X (µT),Mag Y (µT),Mag Z (µT)
2021-10-17 17:23:02.23,1027.83544921875,37.94,3.0141765309719113,11.175741756062886,177.46977136341368,-0.01629638671875,-0.0299072265625,1.0172119140625,0.030487804878048783,0.06097560975609757,-0.030487804878048783,-48.875,36.75,78.25
2021-10-17 17:23:02.52,1027.83544921875,37.9,5.208825939401643,17.830035115781392,176.13399810357154,-0.01611328125,-0.03021240234375,1.017333984375,0.030487804878048783,0.030487804878048783,0.0,-49.25,34.75,76.625
2021-10-17 17:23:02.80,1027.853515625,37.89,6.976491694776046,21.09744265946428,175.26604011105138,-0.01654052734375,-0.0296630859375,1.01873779296875,0.06097560975609757,0.06097560975609757,0.06097560975609757,-49.125,37.25,78.125
2021-10-17 17:23:03.09,1027.90673828125,37.87,8.118942277939272,23.237887640630248,174.42250409030896,-0.01654052734375,-0.030029296875,1.01861572265625,0.0,0.030487804878048783,0.0,-52.375,37.625,76.125
2021-10-17 17:23:03.37,1027.84228515625,37.88,9.117429985223223,24.48930511584864,173.5402148064293,-0.01654052734375,-0.030029296875,1.0181884765625,0.030487804878048783,0.0,0.030487804878048783,-52.0,39.875,74.25
2021-10-17 17:23:03.66,1027.849365234375,37.89,9.741566962768886,25.332178702336147,172.5903275344242,-0.01519775390625,-0.0291748046875,1.0184326171875,0.06097560975609757,0.06097560975609757,0.030487804878048783,-53.5,40.125,73.125
2021-10-17 17:23:03.96,1027.863037109375,37.89,9.87003149500821,25.195467400650273,171.70887756310307,-0.0166015625,-0.02886962890625,1.01849365234375,0.06097560975609757,0.030487804878048783,0.0,-51.375,37.5,73.75
2021-10-17 17:23:04.25,1027.885009765625,37.9,9.967751972605623,24.743676856109182,170.83245348614105,-0.0166015625,-0.02947998046875,1.01702880859375,0.09146341463414635,0.06097560975609757,0.030487804878048783,-48.25,37.375,73.25
2021-10-17 17:23:04.55,1027.880615234375,37.86,9.72322530728877,23.83942911404187,170.0065999601515,-0.0159912109375,-0.02862548828125,1.01861572265625,0.09146341463414635,0.06097560975609757,0.0,-47.75,36.0,77.125
2021-10-17 17:23:04.83,1027.852783203125,37.85,9.223476554236578,23.933739592632026,169.05704312172716,-0.016845703125,-0.02899169921875,1.0186767578125,0.06097560975609757,0.030487804878048783,0.0,-50.375,33.125,74.25
2021-10-17 17:23:05.13,1027.87744140625,37.85,9.66872606588235,24.082991055507588,168.0521321649973,-0.01519775390625,-0.02789306640625,1.0174560546875,0.09146341463414635,0.030487804878048783,-0.030487804878048783,-48.875,42.0,76.875
2021-10-17 17:23:05.42,1027.865234375,37.88,9.50799921761656,24.50211355276347,166.96063869230449,-0.015869140625,-0.0289306640625,1.017333984375,0.0,0.09146341463414635,0.0,-51.25,37.625,73.625
2021-10-17 17:23:05.72,1027.90625,37.92,9.295408538896966,23.8591401311649,166.02448908463063,-0.01715087890625,-0.03118896484375,1.0185546875,0.030487804878048783,0.09146341463414635,0.030487804878048783,-48.875,38.125,78.875
2021-10-17 17:23:06.00,1027.8896484375,37.91,9.214877461615819,23.70093597827175,165.01184126973845,-0.0150146484375,-0.02935791015625,1.02056884765625,0.030487804878048783,0.06097560975609757,0.030487804878048783,-49.25,39.25,78.25
2021-10-17 17:23:06.31,1027.89208984375,37.89,8.856310129572526,23.74655219240301,163.9638370776478,-0.01654052734375,-0.029052734375,1.02001953125,0.09146341463414635,0.030487804878048783,0.030487804878048783,-50.375,36.375,76.875
2021-10-17 17:23:06.60,1027.875,37.9,8.762014466398899,23.860672319339326,162.87726921639424,-0.015625,-0.02880859375,1.01971435546875,0.030487804878048783,0.09146341463414635,0.030487804878048783,-48.375,37.375,74.625
2021-10-17 17:23:06.90,1027.88330078125,37.89,8.31794957688642,23.400953221423087,161.91640171755645,-0.014892578125,-0.027099609375,1.0203857421875,0.09146341463414635,0.09146341463414635,0.06097560975609757,-48.875,34.25,77.75
2021-10-17 17:23:07.18,1027.893310546875,37.88,8.077298479343467,24.403092477087352,160.6113888318992,-0.013916015625,-0.027587890625,1.02117919921875,0.06097560975609757,0.06097560975609757,0.0,-51.5,35.5,71.25
2021-10-17 17:23:07.48,1027.876220703125,37.86,8.095118297889208,24.06031679940896,159.55245387765868,-0.01519775390625,-0.02734375,1.019775390625,0.06097560975609757,0.06097560975609757,-0.030487804878048783,-47.75,37.5,75.75
2021-10-17 17:23:07.77,1027.86865234375,37.85,7.954412937238282,23.91490206015316,158.418796992442,-0.01593017578125,-0.03125,1.02166748046875,0.06097560975609757,0.06097560975609757,0.06097560975609757,-48.75,37.75,76.5
2021-10-17 17:23:08.09,1027.875244140625,37.84,7.955626323201694,23.911272164982154,157.21113199006325,-0.0157470703125,-0.02899169921875,1.01983642578125,0.06097560975609757,0.06097560975609757,0.0,-48.625,39.75,76.75
2021-10-17 17:23:08.37,1027.869873046875,37.84,7.656242721665184,24.02840380827373,155.98324544314534,-0.0157470703125,-0.0272216796875,1.0201416015625,0.06097560975609757,0.030487804878048783,0.06097560975609757,-50.875,37.25,76.5
2021-10-17 17:23:08.67,1027.87255859375,37.86,7.572014146566848,23.954462294999917,154.74502903129263,-0.0169677734375,-0.0289306640625,1.01971435546875,0.030487804878048783,0.15243902439024393,0.06097560975609757,-49.75,40.125,78.375
